objectId,Number,ACL,City,updatedAt,Remarks,Address,Country,VenueName,createdAt,Category
QbxdexlgwF,7,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),"Dressage, Eventing, Jumping","2-1-1, Kamiyoga, Setagaya-ku, Tokyo, Japan",Japan,Equestrian Park,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Equestrian
GfTuFeJe5w,13,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),"BMX Freestyle, BMX Racing, and Skateboarding","7, 1chome, Ariake, Koto-ku, Tokyo, Japan",Japan,Ariake Urban Sports Park,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Cycling
OEY4YQACGA,26,null,Chiba,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Wrestling and Taekwondo,"2-1, Nakase, Mihama-ku, Chiba-shi, Chiba, Japan",Japan,Makuhari Messe Hall A,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Wrestling
0Vr88b6Gyo,21,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Slalom,"1-1, 6chome, Rinkaicho, Edogawa-ku, Tokyo, Japan",Japan,Kasai Canoe Slalom Centre,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Canoe
a3UD4KDvBf,6,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),,"1 Chome-3-28 Yokoami, Sumida City, Tokyo 130-0015, Japan",Japan,Kokugikan Arena,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Boxing
ZsO1rGmz4T,15,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Marathon Swimming and Triathlon,"1chome, Daiba, Minato-ku, Tokyo, Japan",Japan,Odaiba Marine Park,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Aquatics
WoKSIqTNzc,22,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),,"1-4, 2chome, Yumenoshima, Koto-ku, Tokyo, Japan",Japan,Yumenoshima Park Archery Field,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Archery
eWwBbyQmUF,29,null,Saitama,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),,"8 Shintoshin, Chuo Ward, Saitama, 330-9111, Japan",Japan,Saitama Super Arena,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Basketball
Nd1WrOQGzG,42,null,Yokohama,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),,"3300 Kozukuecho, Kohoku Ward, Yokohama, Kanagawa 222-0036, Japan",Japan,International Stadium Yokohama,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Soccer
k6VvHEOZlr,27,null,Chiba,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),,"2-1, Nakase, Mihama-ku, Chiba-shi, Chiba, Japan",Japan,Makuhari Messe Hall B,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Fencing
